pranksLoop.thisRepN,pranksLoop.thisTrialN,pranksLoop.thisN,pranksLoop.thisIndex,promptLoop.thisRepN,promptLoop.thisTrialN,promptLoop.thisN,promptLoop.thisIndex,study.primer,infoletter.index,infoletter.itemText,infoletter.type,infoletter.granularity,infoletter.font,infoletter.markerColor,consentBtn.started,consentBtn.stopped,consentform.index,consentform.itemText,consentform.type,consentform.granularity,consentform.font,consentform.markerColor,consentform.response,consentform.rt,instructionsBtn.started,instructionsBtn.stopped,instructionsBtn.numClicks,instructionsBtn.timesOn,instructionsBtn.timesOff,instructionsform.index,instructionsform.itemText,instructionsform.type,instructionsform.granularity,instructionsform.font,instructionsform.markerColor,prankVar.routineValue,promptVar.routineValue,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,People are walking,0,Information Letter,heading,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,1,Project Title: It's All Fun and Pranks,description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,2,"Faculty Investigator: Dr. Chris Burris, Psychology (St. Jerome's). 519-884-8111x28213 (cburris@uwaterloo.ca)",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,3,"Student Investigator: Maya Karmakar-Johnson, Psychology (mkarmaka@uwaterloo.ca)",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,4,This online research is being conducted as part of the Student Investigator's undergraduate honours thesis. It focuses on how people react to pranking behaviour and factors that affect those reactions.,description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,5,"In this study, you will be asked first to read several short accounts of actual pranks and then react to each (for example, how funny you did – or didn't – find that prank to be). You will then be asked to complete two short measures concerning your responses to how other people interact with you – specifically, how important feeling respected and dealing with anger are for you. Finally, we'll ask you to complete a brief demographic questionnaire that asks basic questions such as your age and gender (so that we can accurately summarize the study sample's characteristics in any future reports). After that, you'll be able to learn more about the study's purpose.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,6,"We expect this study to take no more than 30 minutes of your time. Participation is voluntary. Although no direct benefits to you are anticipated, we hope that you will learn more about the variety of research methods that are employed to test psychological hypotheses. In appreciation for your participation, you will receive 0.5 participation credits toward your applicable Psychology class.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,7,"The risks associated with participation in the study are expected to be no greater than what you might experience in your day-to-day life. Indeed, reacting to others' embarrassing or awkward experiences, as well as how we deal with how people treat us, are common experiences for many. Having said that, you may choose not to complete any proportion of the study but will still receive your 0.5 participation credit. If you do choose to withdraw from the study before reaching the end, we would ask that you please skip to the end to read the feedback letter. Once you have submitted your responses it is not possible to withdraw your consent to participate, however, as we have no way of knowing which responses are yours.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,8,"You will be completing the study by an online survey operated by Qualtrics. Qualtrics has implemented technical, administrative, and physical safeguards to protect the information provided via the Services from loss, misuse, and unauthorized access, disclosure, alteration, or destruction. However, no Internet transmission is ever fully secure or error free. University of Waterloo researchers will not collect or use internet protocol (IP) addresses or other information which could link your participation to your computer or electronic device without first informing you.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,9,"Your identity will be confidential: your questionnaire responses will be identified by a code. You will not be identified by name in any report, publication, or presentation resulting from this study. If you choose to participate your data will be stored for at least 5 years on the password-protected computer on the Faculty Investigator.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,10,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator as shown above.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,11,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Board (REB# 44380). If you have questions for the Board, contact the Office of Research Ethics, at 1-519-888-4567 ext. 36005 or reb@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,12.138192799990065,None,0,Consent for Participation,heading,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,1,"By consenting to participate, you are not waiving your legal rights or releasing the investigator(s) or involved institution(s) from their legal and professional responsibilities.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,2,"I have read the information presented in the information letter about a study being conducted under the supervision of Chris Burris, Department of Psychology, St. Jerome's University (cburris@uwaterloo.ca). I have made this decision based on the information provided. I have had the opportunity to ask any questions related to this study, to receive satisfactory answers to my questions, and any additional details I wanted.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,3,"As a participant in this online study, I am aware that my identity will remain confidential.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,4,I am aware that I may withdraw from participating before reaching the end of the study without penalty.,description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,5,"This study has been reviewed and received ethics clearance through a University of Waterloo Research Ethics Committee (REB# 44380). If you have questions for the Committee, contact the Office of Research Ethics at 1-519-888-4567 ext. 36005 or ore-ceo@uwaterloo.ca",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,6,"If you have any questions about the study, either before or after participating, please feel free to contact the Faculty Investigator.",description,None,None,None,,,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,7,I agree to participate in this study:,choice,None,None,None,1.0,1.3432499000336975,,,,,,,,,,,,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,,,,,,,,,13.585505999973975,None,1,[0.8000014999415725],[0.8000039999606088],0,Instructions,heading,None,None,None,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"Imagine that there exists a part deep within you that you could call the "hidden observer." This part of you knows every detail of all behaviour and thought processes that go on within you and is aware of the deepest intimate information about yourself. However, it cannot be asked to talk about this intimate information unless it is allowed by you to do so.",description,None,None,None,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Five brief descriptions of prank experiences from the target's perspective (taken from the website fmylife.com) appear below. Please read each one and - from the perspective of your "hidden observer" - rate your reactions to it.,description,None,None,None,,,,,,,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I think that what happened was funny.",7.0,1.2192333999555558,16.402615299914032,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I definitely wouldn’t have fallen for that prank.",6.0,1.0267987999832258,17.624147399910726,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""Today my girlfriend decided it would be hilarious if she pulled a prank on me, so she did the classic ‘bucket of water on a door’ one. I ended up getting stitches and a concussion on my birthday." (3 July 2012)","I feel bad for the target of the prank.",5.0,0.5007345000049099,18.66611999995075,None,,001,2022-09-15_20h11.08.375,study,2022.1.4,139.3868096485271,
